IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.207.164.178,2004,80,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,25.81 
118.163.128.81,17333,443,TRUE,KHH,Asia Pacific,Kaohsiung City,85 ms,25.26 
47.243.107.148,2083,0,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,24.90 
132.145.83.155,33799,0,TRUE,ICN,Asia Pacific,Seoul,82 ms,24.06 
129.154.212.181,44699,0,TRUE,NRT,Asia Pacific,Tokyo,77 ms,23.73 
132.145.91.171,8443,0,TRUE,ICN,Asia Pacific,Seoul,71 ms,23.21 
47.128.164.52,9999,80,TRUE,SIN,Asia Pacific,Singapore,103 ms,21.67 
147.78.243.164,57391,0,TRUE,NRT,Asia Pacific,Tokyo,84 ms,20.76 
8.218.142.253,2053,80,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,18.48 
18.183.137.85,2083,0,TRUE,LAX,North America,Los Angeles,77 ms,18.06 
193.122.122.16,40377,0,TRUE,LAX,North America,Los Angeles,71 ms,15.02 
140.238.26.92,20855,0,TRUE,LAX,North America,Los Angeles,72 ms,14.64 
217.163.76.107,2053,0,TRUE,SJC,North America,San Jose,172 ms,12.92 
47.243.107.148,443,0,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,12.73 
154.197.121.13,8443,0,TRUE,SJC,North America,San Jose,169 ms,12.63 
217.163.76.59,443,0,TRUE,SJC,North America,San Jose,175 ms,12.53 
154.197.121.253,443,0,TRUE,SJC,North America,San Jose,178 ms,12.38 
154.197.121.254,8443,80,TRUE,SJC,North America,San Jose,189 ms,12.32 
217.163.76.89,2053,80,TRUE,SJC,North America,San Jose,176 ms,12.28 
217.163.76.88,443,443,TRUE,SJC,North America,San Jose,178 ms,12.22 
154.197.121.248,8443,80,TRUE,SJC,North America,San Jose,175 ms,12.15 
217.163.76.75,443,0,TRUE,SJC,North America,San Jose,178 ms,11.72 
154.197.121.127,443,0,TRUE,SJC,North America,San Jose,170 ms,11.61 
27.50.48.108,443,0,TRUE,SJC,North America,San Jose,176 ms,11.16 
146.56.177.67,61153,0,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,10.34 
154.17.2.125,39201,0,TRUE,LAX,North America,Los Angeles,186 ms,10.23 
45.251.240.229,34237,0,TRUE,KIX,Asia Pacific,Osaka,88 ms,9.82 
20.6.32.20,4431,0,TRUE,SIN,Asia Pacific,Singapore,122 ms,9.76 
219.240.54.189,10434,0,TRUE,ICN,Asia Pacific,Seoul,83 ms,9.69 
202.81.231.30,55576,0,TRUE,HKG,Asia Pacific,Hong Kong,80 ms,9.61 
8.222.182.10,2096,0,TRUE,SIN,Asia Pacific,Singapore,225 ms,8.98 
218.54.200.63,30048,0,TRUE,ICN,Asia Pacific,Seoul,71 ms,8.96 
8.222.224.162,2087,0,TRUE,SIN,Asia Pacific,Singapore,237 ms,8.83 
47.236.161.155,2053,0,TRUE,SIN,Asia Pacific,Singapore,241 ms,8.81 
38.59.226.113,34237,0,TRUE,LHR,Europe,London,202 ms,8.81 
47.236.79.77,2083,0,TRUE,SIN,Asia Pacific,Singapore,244 ms,8.76 
